Account,Use Case,Contact,Trigger,Action Plan
KBP Brands,Bill Automation,,,
Stag Industrial,Energy Portoflio Optimzation,,,
Stream Data Centers,Energy Portoflio Optimization,,,
US Foods,Bill Automation,,,
Lowe's ,Energy Portoflio Optimzation,,,
Sprouts Markets,Electricity Rate Databse,,,1) Send video of signal with a new site openieng 
Restauarant Depot,Energy Portoflio Optimzation,,,
Flynn Group,Bill Automation,,,Yum Brands
Raising Canes,Bill Automation,,,Yum Brands
Inspire Brands,Bill Automation,,,
Whole Foods,Electricity Rate Databse,,,
Caseys,Bill Automation,,Leas enegotiation,1) Send the electricity rate report to a few contacts
EdgeCore,Energy Portoflio Optimzation,,,
VEG ER,Bill Automation,,,
Trader Joes,Electricity Rate Database,,Better lease negotiations by understand demand charges at scale,1) send video of signal with new site opening 
